1,5002357758205612,mastercard,12/17/2021,865,78405.13
2,4017954124368,visa,1/28/2023,471,53602.16
3,5259286229405834,mastercard,4/16/2023,511,2602.15
4,5100147673759921,mastercard,4/29/2022,672,28244.47
5,5108758183770877,mastercard,9/5/2021,277,62512.21
6,4041590327683754,visa,8/2/2021,559,98926.54
7,4041377111761610,visa,12/9/2022,878,75290.65
8,4017951062835910,visa,2/9/2024,691,73019.64
9,5100144587877642,mastercard,3/31/2024,783,77000.29
10,5395883160639101,mastercard,5/14/2021,237,1315.44
